"review_date","user_rating","review_title","review"
"31 July 2023","4","Timeless Charm, Excellent Service, Amazing Food, Unbeatable Prices!","One of the oldest restaurants in town, I was instantly transported back in time with its charming old interiors.

The service was simply outstanding, as the staff was attentive and courteous in spite of the heavy rush, there were at least a 50 people waiting...outside to get in. And everyone got a smile from the staffs.

Now, let's talk about the food. The food was beyond amazing! Prepared with authentic flavors, the biriyani was so good that my kids just loved it.
The most delightful surprises, they had Vegetable biriyani and i didnt leave a tiny grain of rice behind. Every bite was a pure delight.

What impressed me the most was the unbelievable affordability. Despite its longstanding reputation and excellent service, the prices were incredibly cheap.

It's a place where time slows down, and you can savor both history and culinary artistry.

I can't recommend it highly enough, and I'm already looking forward to my next visit!More"
"31 May 2023","5","Great place for non-veg Kerala food in Kozhikode, a place not to be missed.","Been here for breakfast and late lunch on our way to Wayanad from Kozhikode and back. 

Breakfast was extraordinary. We ordered Appam, Idiappam, Chicken curry, Veggie stew, Parotta and a Pazham Pori. Except Idiappam, everything tasted great. Idiappam was a little soggy. We thoroughly enjoyed...the breakfast. 

Two days later, we were at the same place for lunch, somewhat late in the afternoon like 4:30PM. We ordered Nei Choru, Parottas, Fish Fry, Chicken curry and Fish Curry. All tasted good, particularly the fish fry was quite unique and tasted extremely good. It was like I never had it anywhere else, except one Malayali restaurant in Chennai called Kumarakom which is not that famous anymore. 

The building and ambiance looks old, but kept neat and clean. Surprisingly the breakfast was pretty cheap, like Rs. 400 for 3 people. The lunch was quite expensive, due to the fish dishes we ordered, still its worth the money. 

I would strongly recommend this place for anyone landing in Kozhikode for anytime, breakfast, lunch or dinner. This is both cost effective and tasty. I will never miss it whenever I visit Kozhikode.More"
"15 May 2023","5","Best restaurant since 1939","Paragon is a Kozhikode institution with an unmatched cuisine with awesome taste 

It’s maintained it’s standards over the last 18 years the first time i got to visit 

There will be a significant waiting time most of the days specially during the vacation time but...hats off to the staff and the customers who display patience and wait their turn

There are other outlets in Focus Mall, Gulf countries and now Bengaluru

The management could look at expanding the capacity to reduce the waiting timeMore"
"26 April 2023","4","Very good to check out Indian cuisine","Indeed very good food (at a price). Went here twice during my short stay in Calicut, as the restaurant is also centrally located on the upper floor of Focus mall. Excellent service and comfortable ambience.

Try the delicious curd rice for breakfast."
"1 April 2023","2","Lunch at Paragon Kozhikkode ","Went for lunch with family . A very crowded place. Food is ok( not upto the expectation as the biriyani was bland), probably should come in the early hours for a better meal. Restaurant should be well lit as the place was very dark, had...to use my mobile light to see the menu. Ordered for 6 chicken biriyanis, chicken 65 and a thali( dessert was missing)More"
"8 March 2023","5","A very nice restaurant, excellent service, high quality food”","Very classy restaurant. A warm welcoming, followed by an excellent service, with a lot of attention to details on order to please you.
The service always with a smile and very patient with us.
Food was delicious  
if you have the opportunity to go eat...there, do not hesitate !More"
"22 February 2023","5","Famous For Biriyani","Best restaurant in  Kozhikode. I bought Biriyani The rice was cooked perfectly and the spices were just right .The chicken was tender and juicy, and the flavors blended together perfectly."
"19 January 2023","5","Outstanding meal","Our meal at the Paragon restaurant in Calicut was the highlight of a recent trip to Kerala. Chef Thomas's spread was outstanding - from the raw mango drink to the squid, beef Kappa, chicken biriyani, neimeen curry with Kerala parotta, to the elaneer payasam, it...was a meal so sumptuous you could feel the kilos piling on even as your taste buds were overwhelmed. Go if you are in vicinity or even if you are not. And go early as the place is always crowded at lunch and dinner time with long queues waiting patiently to be seated.More"
"16 December 2022","5","Famous for biriyanis","I visited the restaurant for a late lunch and tried their chicken biryani and fish fry. The place was always crowded, and the service was quick and professional. We had our lunch at 5 pm; the taste was delicate, not superb; however, it was reasonably...good. I didn't find it very tasty as per the hype, or what I was told by many of my local friends thought it was good. It's located under an Outerbridge and there is a car parking nearby.More"
"8 October 2022","5","Kerala's No.1 restaurant.","Best restaurant in Kerala.No need of further description.Mango fish curry is one of their tastiest curries.Try chicken fry also."
